,dataset_name,model_name,batch_size,weight_decay,learning_rate,fix_noiselevel,init_noiselevel,dropout_prob
4376,wine-quality-red,noisyFCN,32,0.0001,0.002,0.01,0.001,0.01
4377,wine-quality-red,FCN,32,1e-05,0.0001,0.01,0.01,0.01
4378,wine-quality-red,noisyFCN,32,0.001,0.002,0.01,0.001,0.01
4379,wine-quality-red,noisyFCN,32,0.01,0.002,0.01,0.001,0.01
4380,yacht,noisyFCN,32,0.001,0.002,0.01,0.001,0.01
4381,yacht,noisyFCN,32,0.0001,0.002,0.01,0.001,0.01
4382,wine-quality-red,FCN,32,1e-05,0.0005,0.01,0.01,0.01
4383,yacht,noisyFCN,32,1e-05,0.002,0.01,0.001,0.01
4384,wine-quality-red,noisyFCN,32,1e-05,0.002,0.01,0.005,0.01
4385,wine-quality-red,noisyFCN,32,0.0001,0.002,0.01,0.005,0.01
4386,wine-quality-red,FCN,32,1e-05,0.002,0.01,0.01,0.01
4387,yacht,noisyFCN,32,0.001,0.002,0.01,0.005,0.01
4388,wine-quality-red,noisyFCN,32,0.001,0.002,0.01,0.005,0.01
4389,wine-quality-red,noisyFCN,32,0.01,0.002,0.01,0.005,0.01
4390,yacht,noisyFCN,32,0.0001,0.002,0.01,0.005,0.01
